Name,Ingredients,Level,FoodType,ImageSrc
Healthy greens box,½ a small head of broccoli 1 handful of baby spinach ½ a small bunch of fresh mint 80 g couscous 1 lemon 1 handful of mixed seeds 1 good pinch of ground cumin olive oil 1 heaped teaspoon harissa 50 g feta cheese,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Turkey kofte,TURKEY KOFTE 1 large courgette 2 spring onions 1 fresh red chilli 50 g shelled pistachios 3 sprigs of fresh coriander 3 sprigs of fresh flat-leaf parsley 3 sprigs of fresh mint ¼ teaspoon cumin seeds 1 large free-range egg 500 g free-range minced turkey ½ teaspoon dried oregano CHILLI SAUCE 4 ripe tomatoes 2 small onions 4 cloves of garlic 4 fresh red chillies olive oil 1 tablespoon brown sugar 2 tablespoons tomato purée 1 tablespoon red wine vinegar TAHINI YOGHURT 250 g Greek yoghurt 1 tablespoon tahini 1 squeeze of lemon juice TURKISH PILAV 1 onion 2 cloves of garlic 200 g bulgur wheat 400 ml hot organic chicken stock 1 knob of unsalted butter 80 g broken rice vermicelli 100 g tinned chickpeas (drained weight),not-too-tricky,turkey,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
The Hix turkey burger,450 g coarsely minced free-range turkey thighs (ask your butcher to do this) 100 g Cumberland sausage meat 5-10 Brussels sprouts 2-3 tablespoons free-range mayonnaise vegetable oil 4 hamburger buns CRANBERRY SAUCE 500 g fresh or frozen cranberries 400 ml fresh orange juice 250 g sugar ½ teaspoon ground cinnamon ½ teaspoon ground cloves 1 fresh bay leaf,not-too-tricky,turkey,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Spiced lamb flatbreads,"1.4 kg lamb shoulder , bone in 1 teaspoon cumin seeds 2 teaspoons coriander seeds 1 teaspoon fennel seeds 1 pinch of saffron white pepper ½ a bunch of fresh thyme , (15g) 1 sprig of fresh rosemary 1 orange 100 g unsalted butter , (at room temperature) 1.5 kg large ripe tomatoes , on the vine 1 bulb of garlic olive oil 200 g plain wholemeal flour , plus extra for dusting 2 cos lettuce 1 pomegranate 2 tablespoons rose harissa ½ a bunch of fresh mint , (15g) 150 ml Greek yoghurt 1 tablespoon red wine vinegar CABBAGE PICKLE ½ a medium red cabbage ½ a bunch of fresh flat-leaf parsley , (15g) 2 tablespoons red wine vinegar 1 pinch of ground cloves",not-too-tricky,lamb,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Goldie Hawn's fettuccine Alfredo,"½ x Royal pasta dough fine semolina , for dusting 150 ml double cream 150 ml single cream 1 large free-range egg 60 g Parmesan cheese , plus extra to serve 1 fresh truffle or 1 whole nutmeg , for grating truffle oil",not-too-tricky,pasta,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Essex gumbo,"200 g quality chorizo 1 onion 3 sticks of celery 3 mixed-colour peppers 4 cloves of garlic 2 fresh mixed-colour chillies 2 medium sweet potatoes 4 sprigs of fresh rosemary 4 sprigs of fresh thyme 4 fresh bay leaves 1 teaspoon cayenne pepper 1 heaped tablespoon plain flour 1 x 400 g tin of quality plum tomatoes 300 g okra 300 g white crabmeat , from sustainable sources 4 sprigs of fresh curly parsley STOCK 1 x 1.6 kg whole free-range chicken , jointed, skin on, carcass reserved (ask your butcher) olive oil 12 large raw shell-on tiger prawns , from sustainable sources 1 teaspoon cayenne pepper 1.5 litres quality organic chicken stock PICKLED CHILLIES 6 fresh Scotch bonnet chillies 2 fresh bay leaves extra virgin olive oil white or red wine vinegar",not-too-tricky,seafood,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Quick flatbreads with avocado & feta,"1 teaspoon cumin seeds 250 g wholemeal self-raising flour , plus extra for dusting ¾ teaspoon baking powder 350 g plain yoghurt olive oil 2 ripe avocados 75 g feta cheese 1 teaspoon rose harissa",not-too-tricky,bread,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Salsa spaghetti,320 g dried spaghetti 600 g mixed ripe tomatoes 12 black olives (stone in) 1 bunch of fresh basil 1 clove of garlic extra virgin olive oil 2 tablespoons red wine vinegar 20 g hard Italian cheese,not-too-tricky,pasta,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Pomegranate-glazed mackerel with satsuma & fennel salad,"40 ml pomegranate molasses 40 ml runny honey 2 satsumans , or 1 orange 4 mackerel fillets , from sustainable sources SALAD 2 medium beetroots 1 small red onion 1 small fennel 4 satsumas 1 bunch of fresh dill VINAIGRETTE 4 tablespoons extra virgin olive oil 1 lemon 1 tablespoon pomegranate molasses 1 teaspoon runny honey",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Asian-style seafood parcels,"1 bream fillet , skin on, scaled, pin-boned, from sustainable sources 2 scallops , trimmed, roes attached, from sustainable sources 2 large raw shell-on king prawns , from sustainable sources 75 g mussels , scrubbed, debearded, from sustainable sources 75 g clams , scrubbed, from sustainable sources ½ a stick of lemongrass 1 clove of garlic 2.5 cm piece of ginger 2 fresh lime leaves 1 fresh red chilli 4 sprigs of fresh coriander 1 teaspoon fish sauce ½ tablespoon low-salt soy sauce 2 limes 1 bok choi 1 handful of sugar snap peas 50 g purple sprouting broccoli 50 g choi sum 1 large free-range egg 150 g basmati rice ½ tablespoon coconut cream",not-too-tricky,seafood,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Orlando Bloom's lamb shank tagine,"4 lamb shanks , French trimmed olive oil 1 fresh red chilli 1 clove of garlic 1 red onion 1 quince 2 carrots 1 bulb of fennel 2 fresh bay leaves 1 pinch of saffron 2 ripe tomatoes , on the vine 1 preserved lemon 1 litre quality organic chicken stock 200 g couscous 1 bunch of fresh mint , (30g) 1 handful of black olives , (stone in) ½ a bunch of fresh flat-leaf parsley , (15g) ½ a lemon ½ an orange extra virgin olive oil 50 g rose harissa 4 heaped tablespoons fat-free natural yoghurt RAS EL-HANOUT 2 cardamon pods ½ teaspoon ground cinnamon 1 teaspoon cayenne pepper 1 heaped teaspoon coriander seeds ½ teaspoon sweet smoked paprika 1 tiny pinch of cumin seeds ½ teaspoon ground turmeric ½ teaspoon ground ginger",not-too-tricky,lamb,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Duck egg frittata with peas & beans,"300 g Jersey royal potatoes 150 g small broad beans 6 spring onions 1 green chilli 1 tablespoon olive oil 1 bunch of dill 6 duck eggs 150 g frozen peas , defrosted 1 punnet of cress 70 g fresh goat's cheese",not-too-tricky,eggs,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Courgette ‘spaghetti’ with rocket pesto,"4 courgettes 70-100 ml olive oil , plus an extra splash 100 g almonds 1 clove of garlic a few sprigs of fresh basil 50 g Parmesan cheese ½ a lemon 300 g rocket",not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
"Warm potato, herring, beetroot & apple salad","200 g beetroot 500 g Ratte or other waxy potatoes 1 small apple 2 marinated herring fillets , (see note) or 8-12 pieces from a jar, from sustainable sources a few fresh chives VINAIGRETTE ½ tablspoon Dijon mustard 4 tablespoons olive oil 2 tablespoons red wine vinegar 1 pinch of granulated sugar 1 lug of sparkling water",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Awesome Asian fish stew,"2 limes 300-350 g jasmine or basmati rice 1-2 tablespoons sesame oil 1 x 400 ml tin of light coconut milk 250 ml organic chicken stock 5-6 dried Bird's eye chillies 400 g monkfish, from sustainable sources 8 queen scallops , or 4 large scallops, from sustainable sources 4 langoustines, cleaned, from sustainable sources low-salt soy sauce SPICE PASTE 2 thumb-sized pieces of ginger 4 cloves of garlic 2 fresh sweet mild red chillies 2 lemongrass stalks ½ bunch of fresh coriander 8 kaffir lime leaves 1 teaspoon sweet chilli powder 2 tablespoons groundnut oil",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Shellfish & cider stew,"3 leeks 3 shallots 4 ripe plum tomatoes ½ a bunch of fresh flat-leaf parsley 1 tablespoon unsalted butter 500 ml organic fish stock 750 ml quality cider 6 langoustines , from sustainable sources 6 razor clams , scrubbed, from sustainable sources 600 g mussels , scrubbed, debearded, from sustainable sources 600 g clams , scrubbed, from sustainable sources 3 tablespoons double cream 1 teaspoon tomato purée",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Jamie's easy turkey,"1 x 6 kg higher-welfare turkey , with giblets 125 g unsalted butter 1 clementine ½ a bunch of fresh woody herbs, such as bay, sage, rosemary , (15g) 2 onions 2 sticks of celery 2 carrots",not-too-tricky,turkey,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Baked pollock,"200 g baby new potatoes 2 x 120 g skinless pollock fillets , from sustainable sources 4 slices of higher-welfare Parma ham 125 g ripe cherry tomatoes , on the vine olive oil",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Herring tacos,"4 cloves of garlic 1 small pinch of cumin seeds 1/2 teaspoon fennel seeds 1/2 teaspoon chilli flakes 1/2 teaspoon sweet paprika 2 limes olive oil 8 herring fillets, scaled and pin-boned, from sustainable sources 150 g fat-free natural yoghurt 12 hard taco shells 3 baby gem lettuce GUACAMOLE 3 ripe avocados 2 limes 1/2 a bunch of fresh coriander TOMATO SALSA 300 g ripe cherry tomatoes 1/2 bunch of fresh coriander 1 fresh red chilli extra virgin olive oil",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
"Sweet potato, chickpea & spinach curry",olive oil 2 red onions 3 tablespoons rogan josh paste 1 fresh red chilli 3cm piece of ginger 1 bunch of fresh coriander 3 sweet potatoes 1 x 400 g tin chickpeas 8 ripe tomatoes or 1 x 400g tin chopped tomatoes 1 x 400 ml tin light coconut milk 400 g pre-washed spinach,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Seven-veg tagine,"400 g tinned or 200g dried chickpeas 8 button onions 2 carrots 2 courgettes 500 g pumpkin 1 large potato ½ a green cabbage 5 baby aubergines ½ a bunch of fresh mint ½ a bunch of fresh flat-leaf parsley 30 g ginger 1 generous pinch of saffron 1 teaspoon cumin seeds 1 tablespoon coriander seeds 1 tablespoon tomato purée 1 litre organic vegetable stock 300 g couscous harissa , to taste",not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Prawn & courgette spaghetti,"2 yellow courgettes 3 green courgettes 2 cloves of garlic 2 fresh red chillies 1 bunch of fresh dill or flat-leaf parsley 500 g dried spaghetti 1 large knob of unsalted butter extra virgin olive oil 600 g raw peeled prawns, from sustainable sources ½ lemon Parmesan cheese , optional",not-too-tricky,pasta,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
"Pork, spring green & black bean stir-fry","2 tablespoons shaoxing wine or dry sherry 1 tablespoon light soy sauce , plus extra to serve 1 teaspoon caster sugar 2 teaspoons cornflour 4 x 100 g higher-welfare pork shoulder steaks 2 cloves of garlic 5cm piece of ginger 1 bird's-eye chilli 5 spring onions 400 g spring green vegetables, such as asparagus, tenderstem or purple sprouting broccoli, mange tout, sugar snap peas 1 tablespoon fermented black beans 2 tablespoons groundnut oil",not-too-tricky,pork,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Veggie ‘fish finger’ sandwiches,"300 g leftover mash , (made with both sweet potato and potato) 6 spring onions olive oil 100 g fresh breadcrumbs 50 g sweetcorn kernels 50 g fresh peas , (or frozen, defrosted) 50 g leftover cooked veg , such as broccoli, cauliflower, carrots a few sprigs of parsley ¼–½ lemon 4 tablespoons plain flour ½ teaspoon sweet smoked paprika 3 large free-range eggs 1 soft round lettuce 2 tablespoons free-range mayonnaise 2 tablespoons greek-style yoghurt 6 soft bread rolls",not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Veggie carbonara,400 g dried linguine 4 large free-range eggs 2 tablespoons soft ricotta cheese 1 lemon 100 g fresh or frozen peas 100 g baby spinach,not-too-tricky,pasta,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Rice & peas with jerk roasted veg,"125 g dried red kidney beans , or 1 x 400g tin of kidney beans 2 cloves of garlic 2 spring onions a few sprigs of thyme ½ teaspoon allspice berries 1 stick of cinamon 100 g block of coconut cream 1 scotch bonnet chilli 400 g brown rice fat-free natural yoghurt JERK MARINADE 4 spring onions ½ a bunch of fresh thyme 3 fresh bay leaves 1 teaspoon ground cloves 1 teaspoon ground allspice 1 teaspoon ground nutmeg 6 tablespoons white wine vinegar 1 tablespoon runny honey 1 scotch bonnet chilli 4 cloves of garlic 6 tablespoon golden rum olive oil ROASTED VEG 1 acorn squash 1 gem squash 2 green peppers 250 g okra 6 spring onions 4 cloves of garlic PICKLE 1 red onion 1-2 scotch bonnet chillies 8 tablespoons red wine vinegar 4 fresh bay leaves 1 heaped teaspoon sugar",not-too-tricky,rice,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Rice & lentil-stuffed aubergines,2 large classic aubergines 3 cloves of garlic 1 onion 1 bunch of fresh dill olive oil 2 teaspoons ground cumin 100 g cooked brown basmati rice 150 g cooked green lentils 50 g raisins 80 g feta cheese Sweet tomato sauce 400 g tin of chopped tomatoes 1 clove of garlic 2 tablespoons extra virgin olive oil 1 tablespoon caster sugar,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
"Curried cauli, potatoes, chickpeas & spinach",1 cauliflower 800 g potatoes 2 cloves of garlic 1 onion 1 long green chilli 2 tablespoons olive oil 2 tablespoons unsalted butter 1 teasponn turmeric 1 teaspoon ground cumin 1 teaspoon ground coriander 1 teaspoon mustard seeds 1 teaspoon ground ginger 1 teaspoon curry powder or garam masala 1 x 400 g tin of chickpeas 250 g baby spinach natural yoghurt 1 lime,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Chickpea curry,"2 medium onions 1 x 400 g tin chickpeas 1-2 fresh green chillies 2 tablespoons sunflower oil 1 teaspoon mustard seeds ½ teaspoon asafoetida 1-2 teaspoon sugar , optional ½ x 400 g tin of tomatoes 1 teaspoon fresh ginger paste 1 teaspoon garlic paste 1 teaspoon green chilli paste 1 teaspoon red chilli powder 1 teaspoon turmeric 1 teaspoon dhana jeera powder 1-2 teaspoon sugar , optional a few sprigs of fresh coriander ½ teaspoon garam masala",not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Ham & leek quiche,"2 leeks 1 shallot 8 sprigs of fresh thyme 60 g higher-welfare smoked ham 10 g unsalted butter 200 g sprouting broccoli 1 tablespoon olive oil 3-4 sheets of filo pastry , (170g) 3 large free-range eggs 300 ml semi-skimmed milk 75 g strong mature Cheddar",not-too-tricky,pork,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Mexican chicken chilli,2 onions 4 cloves of garlic ½ a bunch of fresh coriander 2 free-range chicken breasts 1 tablespoon olive oil 1 teaspoon ground cumin ½ teaspoon ground coriander 1 whole dried chipotle chilli 1 pinch of dried chilli flakes 2 x 400 g tins of chopped tomatoes 1 x 410 g tin of black beans 4-6 flour tortillas 2 gem lettuces 0% fat Greek–style yoghurt 1 lime TOMATO SALSA 1 red pepper 1 red chilli 4 ripe tomatoes 3-4 spring onions ½ a bunch of fresh coriander 1 lime,not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Brown rice bowl,"200 g brown sushi rice , (see tip) 120 g frozen edamame beans , depodded 2 sheets nori seaweed , (see tip) 2 tablespoons black sesame seeds , (see tip) 1 pomegranate ½ a bunch of fresh coriander , (15g) CITRUS & HONEY DRESSING 1 lemon 1 orange 2 tablespoons runny honey 2 tablespoons tamari soy sauce 2 tablespoons Japanese rice vinegar",not-too-tricky,rice,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Turkey & coconut milk soup,"2 lemongrass stalks 3 Thai shallots 2 bird’s-eye chillies 1 thumb-sized piece of galangal or ginger 3 coriander roots , optional 500 ml organic turkey or chicken stock 1 x 400 ml tin of light coconut milk 1 teaspoon palm or soft brown sugar 3 lime leaves 100 g oyster mushrooms 200 g cooked, skinless turkey 1-2 tablespoons fish sauce 1/2 lime a few sprigs of fresh coriander",not-too-tricky,turkey,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
"Broccoli & boiled egg salad with anchovies, chillis & croutons","500 g purple sprouting or tenderstem broccoli 4 large free-range eggs , (at room temperature) 2 tablespoons Dijon or wholegrain mustard 1 tablespoon white wine vinegar 1 pinch of caster sugar 2 large cloves of garlic 6-8 marinated anchovies 1 fresh red chilli CROUTONS 60 g leftover ciabatta olive oil",not-too-tricky,egg,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Christmas Mulligatawny soup,1 large onion 2 cloves of garlic 1 carrot 300 g butternut squash 1 thumb-sized piece of ginger 1 tablespoon olive oil 1 dried red chilli 1 tablespoon tomato purée 1 tablespoon curry paste 500 g leftover cooked free-range turkey 1 x 400 g tin chopped tomatoes 750 ml hot organic chicken or giblet stock 300 g basmati rice a few sprigs of fresh coriander,not-too-tricky,turkey,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Porchetta di davida,"4-5 kg boneless higher-welfare jacket of pork, loin and belly attached 50 ml vin santo or other sweet dessert wine 6 large carrots 200 ml white wine STUFFING 3 onions 4 cloves of garlic 200 g free-range chicken livers 4 sprigs of fresh rosemary 4 sprigs of fresh thyme 250 g fresh breadcrumbs olive oil 400 g higher-welfare minced pork belly 10 fresh sage leaves 120 ml vin santo , or other sweet dessert wine 25 g pine nuts 40 g sultanas GRAVY 3 heaped tablespoons plain flour 120 ml white wine 1.5 litres organic chicken stock",not-too-tricky,pork,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Chicken mole, 2 carrots 2 sticks of celery 1 onion 25 g unsalted peanuts 1.6 kg whole free-range chicken TACOS 500 g plain flour olive oil MOLE SAUCE 4 dried ancho chillies 2 fresh red chillies olive oil 1 onion 2 cloves of garlic ½ tesapoons ground cinnamon ½ teaspoon ground cumin ½ teaspoon ground coriander 1 teaspoon dried oregano 50 g unsalted peanuts 2 tablespoons runny honey 50 g dark chocolate (85%) 1 ripe tomato PICKLED CABBAGE 500 g red cabbage 5 tablespoons red wine vinegar 1 teaspoon fennel seeds,not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Poached beef with herb vinaigrette & leeks,"6 onions 6 leeks 2 tablespoons olive oil 200 ml white wine 3 litres organic vegetable stock 1.25 kg beef-eye fillet , roughly 8cm in diameter HERB VINAIGRETTE 1 shallot 6 cornichons 1 bunch of fresh coriander 1 bunch of fresh chives 1 teaspoon Dijon mustard 2 teaspoons wine vinegar 2 teaspoon savora sauce , (see tip) 4 tablespoons rapeseed oil 1 teaspoon capers",not-too-tricky,beef,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Christmas jerk gravadlax,"1.2 kg side of salmon, from sustainable sources SPICE CURE 1 orange 1 scotch bonnet chilli 1 shallot 1 teaspoon allspice ½ teaspoon cinnamon 1 tablespoon treacle 6 tablespoons rock salt 2 tablespoons brown sugar 2 tablespoons rum , plus 50ml extra for rinsing off the cure HERB CURE ½ a bunch of fresh flat-leaf parsley ½ a bunch of fresh thyme ½ a bunch of fresh chives",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Chestnut & porcini-crusted veal rack,"2.5 kg 4-bone higher-welfare veal rack , trimmed of most of its fat and bones cleaned (ask your butcher to do this) olive oil 2 tablespoons Dijon mustard 5 g dried porcini 50 g wholemeal bread 70 g vac-packed chestnuts 3 sprigs of fresh sage CUMBERLAND SAUCE 1 orange 4 tablespoons port 4 tablespoons redcurrant jelly 1 teaspoon English mustard",not-too-tricky,beef,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Persian squash & pistachio roast,"400 g squash olive oil 1 red onion 2 cloves of garlic 50 g dried apricots 50 g sour cherries or cranberries 2 tesapoons cumin seeds 2 teaspoons coriander seeds 1 lemon 1 bunch of fresh coriander , (15g) 200 g tinned or vacuum-packed chestnuts ½ teaspoon ground turmeric 1 teaspoon ground cinnamon 100 g shelled pistachios 100 g almonds 100 g cooked quinoa or brown rice 2 medium free-range eggs , (or to make it vegan, 2 tablespoons of chia seeds mixed with 6 tablespoons of water and left to soak) 1 pomegranate TOMATO SAUCE 2 cloves of garlic 1 small onion 2 fresh red chillies 1 stick of cinnamon ½ a bunch of fresh thyme 1 pinch of turmeric 2 x 400 g tins of quality plum tomatoes 1 tablespoon balsamic vinegar FETA 200 g feta cheese , optional 1 lemon , optional 1 teaspoon coriander seeds , optional",not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Sesame seared salmon,"2 x 130 g salmon fillets, skin on, scaled, pin-boned 2 tablespoons sesame seeds 1 bunch of mint (30g) 2 large oranges extra virgin olive oil red wine vinegar 1 x 250 g packet of cooked mixed grains 2 small carrots 2 heaped teaspoons harissa",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Jamon-wrapped cod with borlotti bean stew,"400 g dried borlotti beans , or 1 x 400g tin of borlotti beans 2 red peppers 3 cloves of garlic 250 g kale ½ a bunch of fresh flat-leaf parsley 200 g coarse breadcrumbs 1 tablespoon smoked paprika olive oil 15 thin slices jamón ibérico or prosciutto 900 g rectangular-shaped fillet of cod , skin off and pin-boned boned, from sustainable sources 4 fresh bay leaves",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
